,Name,Url,Rating,#Ratings,Price,Display Size,Refresh Rate,Resolution,Response Time,Manufacturer,Ports,Curved,Speakers,Height Adjustable
11,"Sceptre Curved 24"" 75Hz Professional LED Monitor 1080p 98% sRGB HDMI VGA Build-in Speakers, Machine Black 2021",https://www.amazon.com/Sceptre-Professional-Monitor-DiaplyPort-Speakers/dp/B07H8P9QX2/ref=sr_1_15?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1648946051&sprefix=computer+monitor%2Caps%2C192&sr=8-15,4.6 out of 5 stars,"1,163",$139.98,24 inches,75 hertz,"VGA, FHD 1080p",-,Sceptre,"HDMI, VGA",True,True,False
12,"SAMSUNG 32 inch UJ59 4k monitor (LU32J590UQNXZA) - UHD, 3840 x 2160p, 60hz, 4ms, Dual monitor, laptop monitor, monitor stand / riser / mount compliant, AMD FreeSync, Gaming, HDMI, DP, Black",https://www.amazon.com/SAMSUNG-inch-UJ59-monitor-LU32J590UQNXZA/dp/B07CS3JGPC/ref=sr_1_17?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1648946051&sprefix=computer+monitor%2Caps%2C192&sr=8-17,4.4 out of 5 stars,"1,490",$299.99,31.5 inches,60 hertz,3840x2160,4 milliseconds,Samsung,HDMI,False,False,False
13,"SAMSUNG Odyssey G3 Series 27-Inch FHD 1080p Gaming Monitor, 144Hz, 1ms, 3-Sided Border-Less, VESA Compatible, Height Adjustable Stand, FreeSync Premium (LF27G35TFBNXZA)",https://www.amazon.com/SAMSUNG-Border-Less-Compatible-Adjustable-LF27G35TFBNXZA/dp/B098R8NRS5/ref=sr_1_18?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1648946051&sprefix=computer+monitor%2Caps%2C192&sr=8-18,4.6 out of 5 stars,449,$189.99,27 inches,144 hertz,1920x1080,1 milliseconds,Samsung,HDMI,True,False,True
14,"Sceptre Curved 30"" 21:9 Gaming LED Monitor 2560x1080p UltraWide Ultra Slim HDMI DisplayPort Up to 85Hz MPRT 1ms FPS-RTS Build-in Speakers, Machine Black (C305W-2560UN)",https://www.amazon.com/Sceptre-C305W-2560UN-30-inch-DisplayPort-Build/dp/B07XZNXWGS/ref=sr_1_19?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1648946051&sprefix=computer+monitor%2Caps%2C192&sr=8-19,4.6 out of 5 stars,"3,484",$249.97,30 inches,85 hertz,2560x1080,1 milliseconds,Sceptre,"HDMI, DisplayPort",True,True,False
15,"SAMSUNG CH890 Series 34-Inch Ultrawide QHD (3440x1440) Computer Monitor, 100Hz, Curved, HDMI, USB-C, Height Adjustable Stand, 3 Yr WRNTY (LC34H890WGNXGO)",https://www.amazon.com/Samsung-Business-3440x1440-Ultrawide-LC34H890WGNXGO/dp/B08623SZH9/ref=sr_1_20?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1648946051&sprefix=computer+monitor%2Caps%2C192&sr=8-20,4.5 out of 5 stars,630,$599.99,34 inches,100 hertz,3840x1440,4 milliseconds,Samsung,"HDMI, DisplayPort, Type-C",True,False,True
16,"SAMSUNG 34” S65UA Series Computer Monitor, Ultrawide QHD Screen, HDR10, 100Hz, Curved, USB- C, Adjustable Stand, Intelligent Eye Care, LS34A650UXNXGO, Black",https://www.amazon.com/SAMSUNG-Adjustable-TUV-Certified-Intelligent-LS34A650UXNXGO/dp/B08V71HXY3/ref=sr_1_19?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1648946119&sprefix=computer+monitor%2Caps%2C192&sr=8-19,4.3 out of 5 stars,56,$579.99,34 inches,100 hertz,3440x1440,5 milliseconds,Samsung,"HDMI, Type-C",True,False,True
17,"SAMSUNG T700 Series 27-Inch WQHD (2560x1440) Computer Monitor, 75Hz, IPS Panel, HDMI, Display Port, Height Adjustable Stand, FreeSync (LF27T700QQNXZA)",https://www.amazon.com/SAMSUNG-27-Inch-Monitor-Panel-LF27T700QQNXZA/dp/B08NFG4FNB/ref=sr_1_20?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1648946119&sprefix=computer+monitor%2Caps%2C192&sr=8-20,4.5 out of 5 stars,79,$219.99,27 inches,75 hertz,2560x1440,5 milliseconds,Samsung,"HDMI, Display Port",False,False,True
18,"ViewSonic VP3268a-4K 32 Inch Premium IPS 4K Monitor with Advanced Ergonomics, ColorPro 100% sRGB Rec 709, 14-bit 3D LUT, Eye Care, HDR10 Support, HDMI, USB C, DisplayPort for Professional Home Office",https://www.amazon.com/ViewSonic-VP3268a-4K-Ergonomics-DisplayPort-Professional/dp/B08TZVQBT5/ref=sr_1_21?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1648946119&sprefix=computer+monitor%2Caps%2C192&sr=8-21,4.5 out of 5 stars,501,$881.99,32 inches,60 hertz,3840x2160,5 milliseconds,ViewSonic,"HDMI, DisplayPort",False,False,True
19,"SAMSUNG CJ890 Series 49-Inch Ultrawide QHD (3840x1080) Computer Monitor, 144Hz, Curved, HDMI, USB-C, Height Adjustable Stand, 3 Yr WRNTY (LC49J890DKNXZA)",https://www.amazon.com/Samsung-C49J890DKN-49-3840x1080-32/dp/B07CS4KF7J/ref=sr_1_22?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1648946119&sprefix=computer+monitor%2Caps%2C192&sr=8-22,4.4 out of 5 stars,703,$973.92,49 inches,144 hertz,3840x1080,5 milliseconds,Samsung,HDMI,True,False,True
20,"LG 27MK600M-B 27"" Full HD IPS Monitor with Radeon FreeSync Technology and Virtually Borderless Design",https://www.amazon.com/LG-27MK600M-B-Technology-Virtually-Borderless/dp/B07FFC14SZ/ref=sr_1_23?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1648946119&sprefix=computer+monitor%2Caps%2C192&sr=8-23,4.7 out of 5 stars,"1,638",$176.99,27 inches,60 hertz,1920x1080,5 milliseconds,LG,HDMI,False,False,False
